name	smiles	source
Antipyrine	Cc1cc(=O)n(-c2ccccc2)n1C	HIPS/molecule-autoencoder all_drugs.smi
Apixaban	COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1	HIPS/molecule-autoencoder all_drugs.smi
Apomorphine	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3	HIPS/molecule-autoencoder all_drugs.smi
Apraclonidine	Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1	HIPS/molecule-autoencoder all_drugs.smi
Aprindine	CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1	HIPS/molecule-autoencoder all_drugs.smi
Aprobarbital	C=CCC1(C(C)C)C(=O)NC(=O)NC1=O	HIPS/molecule-autoencoder all_drugs.smi
Arbutamine	Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Arformoterol	COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Aripiprazole	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1	HIPS/molecule-autoencoder all_drugs.smi
Artemether	CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3	HIPS/molecule-autoencoder all_drugs.smi
Asenapine	CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1	HIPS/molecule-autoencoder all_drugs.smi
Aspartame	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Astemizole	COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Atenolol	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	HIPS/molecule-autoencoder all_drugs.smi
Atomoxetine	CNCC[C@@H](Oc1ccccc1C)c1ccccc1	HIPS/molecule-autoencoder all_drugs.smi
Atovaquone	O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21	HIPS/molecule-autoencoder all_drugs.smi
Atropine	CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2	HIPS/molecule-autoencoder all_drugs.smi
Avanafil	COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl	HIPS/molecule-autoencoder all_drugs.smi
Azacitidine	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	HIPS/molecule-autoencoder all_drugs.smi
Azatadine	CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1	HIPS/molecule-autoencoder all_drugs.smi
Azathioprine	Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12	HIPS/molecule-autoencoder all_drugs.smi
Azelaic	O=C(O)CCCCCCCC(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Azelastine	CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1	HIPS/molecule-autoencoder all_drugs.smi
Azidocillin	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N=[N+]=[N-])c3ccccc3)C(=O)N2[C@H]1C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Baclofen	NCC(CC(=O)O)c1ccc(Cl)cc1	HIPS/molecule-autoencoder all_drugs.smi
Balsalazide	O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Bambuterol	CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1	HIPS/molecule-autoencoder all_drugs.smi
Benazepril	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O	HIPS/molecule-autoencoder all_drugs.smi
Bendroflumethiazide	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O	HIPS/molecule-autoencoder all_drugs.smi
Bentiromide	O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Benzatropine	CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2	HIPS/molecule-autoencoder all_drugs.smi
Benzocaine	CCOC(=O)c1ccc(N)cc1	HIPS/molecule-autoencoder all_drugs.smi
Benzphetamine	C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1	HIPS/molecule-autoencoder all_drugs.smi
Benzquinamide	CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O	HIPS/molecule-autoencoder all_drugs.smi
Benzthiazide	NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O	HIPS/molecule-autoencoder all_drugs.smi
Benzyl	O=C(OCc1ccccc1)c1ccccc1	HIPS/molecule-autoencoder all_drugs.smi
Bepotastine	O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1	HIPS/molecule-autoencoder all_drugs.smi
Bepridil	CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	HIPS/molecule-autoencoder all_drugs.smi
Besifloxacin	N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1	HIPS/molecule-autoencoder all_drugs.smi
Betahistine	CNCCc1ccccn1	HIPS/molecule-autoencoder all_drugs.smi
Betaxolol	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Bethanidine	C/N=C(\NC)NCc1ccccc1	HIPS/molecule-autoencoder all_drugs.smi
Bevantolol	COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC	HIPS/molecule-autoencoder all_drugs.smi
Bexarotene	C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	HIPS/molecule-autoencoder all_drugs.smi
Bezafibrate	CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Bicalutamide	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	HIPS/molecule-autoencoder all_drugs.smi
Bifonazole	c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Biotin	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21	HIPS/molecule-autoencoder all_drugs.smi
Biperiden	OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2	HIPS/molecule-autoencoder all_drugs.smi
Bismuth	O=C1[O][Bi]([OH])[O]c2ccccc21	HIPS/molecule-autoencoder all_drugs.smi
Bisoprolol	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	HIPS/molecule-autoencoder all_drugs.smi
Bopindolol	Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1	HIPS/molecule-autoencoder all_drugs.smi
Bortezomib	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	HIPS/molecule-autoencoder all_drugs.smi
Bosutinib	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	HIPS/molecule-autoencoder all_drugs.smi
Brimonidine	Brc1c(NC2=NCCN2)ccc2nccnc12	HIPS/molecule-autoencoder all_drugs.smi
Brinzolamide	CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	HIPS/molecule-autoencoder all_drugs.smi
Bromazepam	O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1	HIPS/molecule-autoencoder all_drugs.smi
Bromfenac	Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1	HIPS/molecule-autoencoder all_drugs.smi
Bromodiphenhydramine	CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1	HIPS/molecule-autoencoder all_drugs.smi
Brompheniramine	CN(C)CCC(c1ccc(Br)cc1)c1ccccn1	HIPS/molecule-autoencoder all_drugs.smi
Buclizine	CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Bumetanide	CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1	HIPS/molecule-autoencoder all_drugs.smi
Bupivacaine	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	HIPS/molecule-autoencoder all_drugs.smi
Bupranolol	Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1	HIPS/molecule-autoencoder all_drugs.smi
Bupropion	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	HIPS/molecule-autoencoder all_drugs.smi
Buspirone	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1	HIPS/molecule-autoencoder all_drugs.smi
Busulfan	CS(=O)(=O)OCCCCOS(C)(=O)=O	HIPS/molecule-autoencoder all_drugs.smi
Butabarbital	CCC(C)C1(CC)C(=O)NC(=O)NC1=O	HIPS/molecule-autoencoder all_drugs.smi
Butalbital	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O	HIPS/molecule-autoencoder all_drugs.smi
Butenafine	CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12	HIPS/molecule-autoencoder all_drugs.smi
Butethal	CCCCC1(CC)C(=O)NC(=O)NC1=O	HIPS/molecule-autoencoder all_drugs.smi
Butoconazole	Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1	HIPS/molecule-autoencoder all_drugs.smi
Butorphanol	Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3	HIPS/molecule-autoencoder all_drugs.smi
Cabergoline	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	HIPS/molecule-autoencoder all_drugs.smi
Caffeine	Cn1c(=O)c2c(ncn2C)n(C)c1=O	HIPS/molecule-autoencoder all_drugs.smi
Camazepam	CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O	HIPS/molecule-autoencoder all_drugs.smi
Candesartan	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Capecitabine	CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F	HIPS/molecule-autoencoder all_drugs.smi
Captopril	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Carbamazepine	NC(=O)N1c2ccccc2C=Cc2ccccc21	HIPS/molecule-autoencoder all_drugs.smi
Carbenicillin	CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Carbidopa	C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Carbimazole	CCOC(=O)n1ccn(C)c1=S	HIPS/molecule-autoencoder all_drugs.smi
Carbinoxamine	CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1	HIPS/molecule-autoencoder all_drugs.smi
Carboplatin	O=C1[O][Pt][O]C(=O)C12CCC2	HIPS/molecule-autoencoder all_drugs.smi
Carglumic	NC(=O)N[C@@H](CCC(=O)O)C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Carisoprodol	CCCC(C)(COC(N)=O)COC(=O)NC(C)C	HIPS/molecule-autoencoder all_drugs.smi
Carmustine	O=NN(CCCl)C(=O)NCCCl	HIPS/molecule-autoencoder all_drugs.smi
Carphenazine	CCC(=O)c1ccc2c(c1)N(CCN1CCN(CCO)CC1)c1ccccc1S2	HIPS/molecule-autoencoder all_drugs.smi
Carprofen	CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12	HIPS/molecule-autoencoder all_drugs.smi
Carteolol	CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2	HIPS/molecule-autoencoder all_drugs.smi
Carvedilol	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	HIPS/molecule-autoencoder all_drugs.smi
Cefacetrile	CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cefaclor	N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1	HIPS/molecule-autoencoder all_drugs.smi
Cefadroxil	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cefalotin	CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cefamandole	Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cefazolin	Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1	HIPS/molecule-autoencoder all_drugs.smi
Cefdinir	C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cefixime	C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
